CTE	CTE_PREV	CTE_SUM	KP	KI	KD	P_ERROR	I_ERROR	D_ERROR
0.739300	0.739300	52.060700	0.200000	0.000400	0.000000	0.147860	0.020824	-0.000000
0.738400	0.738400	52.799100	0.200000	0.000400	0.000000	0.147680	0.021120	-0.000000
0.737500	0.737500	53.536600	0.200000	0.000400	0.000000	0.147500	0.021415	-0.000000
0.736500	0.736500	54.273100	0.200000	0.000400	0.000000	0.147300	0.021709	-0.000000
0.735500	0.735500	55.008600	0.200000	0.000400	0.000000	0.147100	0.022003	-0.000000
0.734400	0.734400	55.743000	0.200000	0.000400	0.000000	0.146880	0.022297	-0.000000
0.733300	0.733300	56.476300	0.200000	0.000400	0.000000	0.146660	0.022591	-0.000000
0.732200	0.732200	57.208500	0.200000	0.000400	0.000000	0.146440	0.022883	-0.000000
0.731000	0.731000	57.939500	0.200000	0.000400	0.000000	0.146200	0.023176	-0.000000
0.729800	0.729800	58.669300	0.200000	0.000400	0.000000	0.145960	0.023468	-0.000000
0.728600	0.728600	59.397900	0.200000	0.000400	0.000000	0.145720	0.023759	-0.000000
0.727300	0.727300	60.125200	0.200000	0.000400	0.000000	0.145460	0.024050	-0.000000
0.726000	0.726000	60.851200	0.200000	0.000400	0.000000	0.145200	0.024340	-0.000000
0.724600	0.724600	61.575800	0.200000	0.000400	0.000000	0.144920	0.024630	-0.000000
0.723200	0.723200	62.299000	0.200000	0.000400	0.000000	0.144640	0.024920	-0.000000
0.721800	0.721800	63.020800	0.200000	0.000400	0.000000	0.144360	0.025208	-0.000000
0.720300	0.720300	63.741100	0.200000	0.000400	0.000000	0.144060	0.025496	-0.000000
0.718700	0.718700	64.459800	0.200000	0.000400	0.000000	0.143740	0.025784	-0.000000
0.717100	0.717100	65.176900	0.200000	0.000400	0.000000	0.143420	0.026071	-0.000000
0.715400	0.715400	65.892300	0.200000	0.000400	0.000000	0.143080	0.026357	-0.000000
0.713700	0.713700	66.606000	0.200000	0.000400	0.000000	0.142740	0.026642	-0.000000
0.711900	0.711900	67.317900	0.200000	0.000400	0.000000	0.142380	0.026927	-0.000000
0.710000	0.710000	68.027900	0.200000	0.000400	0.000000	0.142000	0.027211	-0.000000
0.708100	0.708100	68.736000	0.200000	0.000400	0.000000	0.141620	0.027494	-0.000000
0.706100	0.706100	69.442100	0.200000	0.000400	0.000000	0.141220	0.027777	-0.000000
0.704100	0.704100	70.146200	0.200000	0.000400	0.000000	0.140820	0.028058	-0.000000
0.702000	0.702000	70.848200	0.200000	0.000400	0.000000	0.140400	0.028339	-0.000000
0.699800	0.699800	71.548000	0.200000	0.000400	0.000000	0.139960	0.028619	-0.000000
0.697600	0.697600	72.245600	0.200000	0.000400	0.000000	0.139520	0.028898	-0.000000
0.695300	0.695300	72.940900	0.200000	0.000400	0.000000	0.139060	0.029176	-0.000000
0.693000	0.693000	73.633900	0.200000	0.000400	0.000000	0.138600	0.029454	-0.000000
0.690500	0.690500	74.324400	0.200000	0.000400	0.000000	0.138100	0.029730	-0.000000
0.688000	0.688000	75.012400	0.200000	0.000400	0.000000	0.137600	0.030005	-0.000000
0.685500	0.685500	75.697900	0.200000	0.000400	0.000000	0.137100	0.030279	-0.000000
0.682900	0.682900	76.380800	0.200000	0.000400	0.000000	0.136580	0.030552	-0.000000
0.680200	0.680200	77.061000	0.200000	0.000400	0.000000	0.136040	0.030824	-0.000000
0.677400	0.677400	77.738400	0.200000	0.000400	0.000000	0.135480	0.031095	-0.000000
0.674600	0.674600	78.413000	0.200000	0.000400	0.000000	0.134920	0.031365	-0.000000
0.668700	0.668700	79.081700	0.200000	0.000400	0.000000	0.133740	0.031633	-0.000000
0.665600	0.665600	79.747300	0.200000	0.000400	0.000000	0.133120	0.031899	-0.000000
0.665600	0.665600	80.412900	0.200000	0.000400	0.000000	0.133120	0.032165	0.000000
0.659300	0.659300	81.072200	0.200000	0.000400	0.000000	0.131860	0.032429	-0.000000
0.656000	0.656000	81.728200	0.200000	0.000400	0.000000	0.131200	0.032691	-0.000000
0.652600	0.652600	82.380800	0.200000	0.000400	0.000000	0.130520	0.032952	-0.000000
0.649200	0.649200	83.030000	0.200000	0.000400	0.000000	0.129840	0.033212	-0.000000
0.645600	0.645600	83.675600	0.200000	0.000400	0.000000	0.129120	0.033470	-0.000000
0.642000	0.642000	84.317600	0.200000	0.000400	0.000000	0.128400	0.033727	-0.000000
0.638300	0.638300	84.955900	0.200000	0.000400	0.000000	0.127660	0.033982	-0.000000
0.634500	0.634500	85.590400	0.200000	0.000400	0.000000	0.126900	0.034236	-0.000000
0.630700	0.630700	86.221100	0.200000	0.000400	0.000000	0.126140	0.034488	-0.000000
0.626700	0.626700	86.847800	0.200000	0.000400	0.000000	0.125340	0.034739	-0.000000
0.622700	0.622700	87.470500	0.200000	0.000400	0.000000	0.124540	0.034988	-0.000000
0.618500	0.618500	88.089000	0.200000	0.000400	0.000000	0.123700	0.035236	-0.000000
0.614300	0.614300	88.703300	0.200000	0.000400	0.000000	0.122860	0.035481	-0.000000
0.610000	0.610000	89.313300	0.200000	0.000400	0.000000	0.122000	0.035725	-0.000000
0.605600	0.605600	89.918900	0.200000	0.000400	0.000000	0.121120	0.035968	-0.000000
0.601100	0.601100	90.520000	0.200000	0.000400	0.000000	0.120220	0.036208	-0.000000
0.596500	0.596500	91.116500	0.200000	0.000400	0.000000	0.119300	0.036447	-0.000000
0.591800	0.591800	91.708300	0.200000	0.000400	0.000000	0.118360	0.036683	-0.000000
0.587000	0.587000	92.295300	0.200000	0.000400	0.000000	0.117400	0.036918	-0.000000
0.582100	0.582100	92.877400	0.200000	0.000400	0.000000	0.116420	0.037151	-0.000000
0.577100	0.577100	93.454500	0.200000	0.000400	0.000000	0.115420	0.037382	-0.000000
0.572000	0.572000	94.026500	0.200000	0.000400	0.000000	0.114400	0.037611	-0.000000
0.566800	0.566800	94.593300	0.200000	0.000400	0.000000	0.113360	0.037837	-0.000000
0.561600	0.561600	95.154900	0.200000	0.000400	0.000000	0.112320	0.038062	-0.000000
0.556200	0.556200	95.711100	0.200000	0.000400	0.000000	0.111240	0.038284	-0.000000
0.550700	0.550700	96.261800	0.200000	0.000400	0.000000	0.110140	0.038505	-0.000000
0.545100	0.545100	96.806900	0.200000	0.000400	0.000000	0.109020	0.038723	-0.000000
0.539400	0.539400	97.346300	0.200000	0.000400	0.000000	0.107880	0.038939	-0.000000
0.533600	0.533600	97.879900	0.200000	0.000400	0.000000	0.106720	0.039152	-0.000000
0.533600	0.533600	98.413500	0.200000	0.000400	0.000000	0.106720	0.039365	0.000000
0.527700	0.527700	98.941200	0.200000	0.000400	0.000000	0.105540	0.039576	-0.000000
0.515500	0.515500	99.456700	0.200000	0.000400	0.000000	0.103100	0.039783	-0.000000
0.515500	0.515500	99.972200	0.200000	0.000400	0.000000	0.103100	0.039989	0.000000
0.509300	0.509300	100.481500	0.200000	0.000400	0.000000	0.101860	0.040193	-0.000000
0.502900	0.502900	100.984400	0.200000	0.000400	0.000000	0.100580	0.040394	-0.000000
0.496500	0.496500	101.480900	0.200000	0.000400	0.000000	0.099300	0.040592	-0.000000
0.489900	0.489900	101.970800	0.200000	0.000400	0.000000	0.097980	0.040788	-0.000000
0.477200	0.477200	102.448000	0.200000	0.000400	0.000000	0.095440	0.040979	-0.000000
