CTE	CTE_PREV	CTE_SUM	KP	KI	KD	P_ERROR	I_ERROR	D_ERROR
0.759800	0.759800	0.759800	0.200000	0.000400	0.000000	0.151960	0.000304	0.000000
0.759800	0.759800	1.519600	0.200000	0.000400	0.000000	0.151960	0.000608	0.000000
0.759800	0.759800	2.279400	0.200000	0.000400	0.000000	0.151960	0.000912	0.000000
0.759800	0.759800	3.039200	0.200000	0.000400	0.000000	0.151960	0.001216	0.000000
0.759800	0.759800	3.799000	0.200000	0.000400	0.000000	0.151960	0.001520	0.000000
0.759800	0.759800	4.558800	0.200000	0.000400	0.000000	0.151960	0.001824	0.000000
0.759800	0.759800	5.318600	0.200000	0.000400	0.000000	0.151960	0.002127	0.000000
0.759800	0.759800	6.078400	0.200000	0.000400	0.000000	0.151960	0.002431	0.000000
0.759800	0.759800	6.838200	0.200000	0.000400	0.000000	0.151960	0.002735	0.000000
0.759800	0.759800	7.598000	0.200000	0.000400	0.000000	0.151960	0.003039	0.000000
0.759800	0.759800	8.357800	0.200000	0.000400	0.000000	0.151960	0.003343	0.000000
0.759800	0.759800	9.117600	0.200000	0.000400	0.000000	0.151960	0.003647	0.000000
0.759800	0.759800	9.877400	0.200000	0.000400	0.000000	0.151960	0.003951	0.000000
0.759800	0.759800	10.637200	0.200000	0.000400	0.000000	0.151960	0.004255	0.000000
0.759800	0.759800	11.397000	0.200000	0.000400	0.000000	0.151960	0.004559	0.000000
0.759900	0.759900	12.156900	0.200000	0.000400	0.000000	0.151980	0.004863	0.000000
0.759800	0.759800	12.916700	0.200000	0.000400	0.000000	0.151960	0.005167	-0.000000
0.759800	0.759800	13.676500	0.200000	0.000400	0.000000	0.151960	0.005471	0.000000
0.759700	0.759700	14.436200	0.200000	0.000400	0.000000	0.151940	0.005774	-0.000000
0.759700	0.759700	15.195900	0.200000	0.000400	0.000000	0.151940	0.006078	0.000000
0.759500	0.759500	15.955400	0.200000	0.000400	0.000000	0.151900	0.006382	-0.000000
0.759400	0.759400	16.714800	0.200000	0.000400	0.000000	0.151880	0.006686	-0.000000
0.759300	0.759300	17.474100	0.200000	0.000400	0.000000	0.151860	0.006990	-0.000000
0.759200	0.759200	18.233300	0.200000	0.000400	0.000000	0.151840	0.007293	-0.000000
0.759000	0.759000	18.992300	0.200000	0.000400	0.000000	0.151800	0.007597	-0.000000
0.758900	0.758900	19.751200	0.200000	0.000400	0.000000	0.151780	0.007900	-0.000000
0.758700	0.758700	20.509900	0.200000	0.000400	0.000000	0.151740	0.008204	-0.000000
0.758600	0.758600	21.268500	0.200000	0.000400	0.000000	0.151720	0.008507	-0.000000
0.758400	0.758400	22.026900	0.200000	0.000400	0.000000	0.151680	0.008811	-0.000000
0.758200	0.758200	22.785100	0.200000	0.000400	0.000000	0.151640	0.009114	-0.000000
0.758000	0.758000	23.543100	0.200000	0.000400	0.000000	0.151600	0.009417	-0.000000
0.757800	0.757800	24.300900	0.200000	0.000400	0.000000	0.151560	0.009720	-0.000000
0.757600	0.757600	25.058500	0.200000	0.000400	0.000000	0.151520	0.010023	-0.000000
0.757300	0.757300	25.815800	0.200000	0.000400	0.000000	0.151460	0.010326	-0.000000
0.757000	0.757000	26.572800	0.200000	0.000400	0.000000	0.151400	0.010629	-0.000000
0.756800	0.756800	27.329600	0.200000	0.000400	0.000000	0.151360	0.010932	-0.000000
0.756500	0.756500	28.086100	0.200000	0.000400	0.000000	0.151300	0.011234	-0.000000
0.756200	0.756200	28.842300	0.200000	0.000400	0.000000	0.151240	0.011537	-0.000000
0.755900	0.755900	29.598200	0.200000	0.000400	0.000000	0.151180	0.011839	-0.000000
0.755500	0.755500	30.353700	0.200000	0.000400	0.000000	0.151100	0.012141	-0.000000
0.755200	0.755200	31.108900	0.200000	0.000400	0.000000	0.151040	0.012444	-0.000000
0.754800	0.754800	31.863700	0.200000	0.000400	0.000000	0.150960	0.012745	-0.000000
0.754400	0.754400	32.618100	0.200000	0.000400	0.000000	0.150880	0.013047	-0.000000
0.754000	0.754000	33.372100	0.200000	0.000400	0.000000	0.150800	0.013349	-0.000000
0.753600	0.753600	34.125700	0.200000	0.000400	0.000000	0.150720	0.013650	-0.000000
0.753100	0.753100	34.878800	0.200000	0.000400	0.000000	0.150620	0.013952	-0.000000
0.752700	0.752700	35.631500	0.200000	0.000400	0.000000	0.150540	0.014253	-0.000000
0.752200	0.752200	36.383700	0.200000	0.000400	0.000000	0.150440	0.014553	-0.000000
0.751700	0.751700	37.135400	0.200000	0.000400	0.000000	0.150340	0.014854	-0.000000
0.751200	0.751200	37.886600	0.200000	0.000400	0.000000	0.150240	0.015155	-0.000000
0.750600	0.750600	38.637200	0.200000	0.000400	0.000000	0.150120	0.015455	-0.000000
0.750000	0.750000	39.387200	0.200000	0.000400	0.000000	0.150000	0.015755	-0.000000
0.749400	0.749400	40.136600	0.200000	0.000400	0.000000	0.149880	0.016055	-0.000000
0.748800	0.748800	40.885400	0.200000	0.000400	0.000000	0.149760	0.016354	-0.000000
0.748100	0.748100	41.633500	0.200000	0.000400	0.000000	0.149620	0.016653	-0.000000
0.747400	0.747400	42.380900	0.200000	0.000400	0.000000	0.149480	0.016952	-0.000000
0.746700	0.746700	43.127600	0.200000	0.000400	0.000000	0.149340	0.017251	-0.000000
0.746000	0.746000	43.873600	0.200000	0.000400	0.000000	0.149200	0.017549	-0.000000
0.745200	0.745200	44.618800	0.200000	0.000400	0.000000	0.149040	0.017848	-0.000000
0.744400	0.744400	45.363200	0.200000	0.000400	0.000000	0.148880	0.018145	-0.000000
0.743600	0.743600	46.106800	0.200000	0.000400	0.000000	0.148720	0.018443	-0.000000
0.742700	0.742700	46.849500	0.200000	0.000400	0.000000	0.148540	0.018740	-0.000000
0.741800	0.741800	47.591300	0.200000	0.000400	0.000000	0.148360	0.019037	-0.000000
0.740900	0.740900	48.332200	0.200000	0.000400	0.000000	0.148180	0.019333	-0.000000
0.740000	0.740000	49.072200	0.200000	0.000400	0.000000	0.148000	0.019629	-0.000000
0.739000	0.739000	49.811200	0.200000	0.000400	0.000000	0.147800	0.019924	-0.000000
0.737900	0.737900	50.549100	0.200000	0.000400	0.000000	0.147580	0.020220	-0.000000
0.736800	0.736800	51.285900	0.200000	0.000400	0.000000	0.147360	0.020514	-0.000000
