CTE	CTE_PREV	CTE_SUM	KP	KI	KD	P_ERROR	I_ERROR	D_ERROR
0.739500	0.739500	52.049900	0.200000	0.000000	0.000000	0.147900	0.000000	-0.000000
0.738700	0.738700	52.788600	0.200000	0.000000	0.000000	0.147740	0.000000	-0.000000
0.737800	0.737800	53.526400	0.200000	0.000000	0.000000	0.147560	0.000000	-0.000000
0.737800	0.737800	54.264200	0.200000	0.000000	0.000000	0.147560	0.000000	0.000000
0.736900	0.736900	55.001100	0.200000	0.000000	0.000000	0.147380	0.000000	-0.000000
0.735900	0.735900	55.737000	0.200000	0.000000	0.000000	0.147180	0.000000	-0.000000
0.734900	0.734900	56.471900	0.200000	0.000000	0.000000	0.146980	0.000000	-0.000000
0.733900	0.733900	57.205800	0.200000	0.000000	0.000000	0.146780	0.000000	-0.000000
0.732900	0.732900	57.938700	0.200000	0.000000	0.000000	0.146580	0.000000	-0.000000
0.731800	0.731800	58.670500	0.200000	0.000000	0.000000	0.146360	0.000000	-0.000000
0.730700	0.730700	59.401200	0.200000	0.000000	0.000000	0.146140	0.000000	-0.000000
0.729500	0.729500	60.130700	0.200000	0.000000	0.000000	0.145900	0.000000	-0.000000
0.728300	0.728300	60.859000	0.200000	0.000000	0.000000	0.145660	0.000000	-0.000000
0.727100	0.727100	61.586100	0.200000	0.000000	0.000000	0.145420	0.000000	-0.000000
0.723100	0.723100	62.309200	0.200000	0.000000	0.000000	0.144620	0.000000	-0.000000
0.721700	0.721700	63.030900	0.200000	0.000000	0.000000	0.144340	0.000000	-0.000000
0.720200	0.720200	63.751100	0.200000	0.000000	0.000000	0.144040	0.000000	-0.000000
0.718700	0.718700	64.469800	0.200000	0.000000	0.000000	0.143740	0.000000	-0.000000
0.717200	0.717200	65.187000	0.200000	0.000000	0.000000	0.143440	0.000000	-0.000000
0.715600	0.715600	65.902600	0.200000	0.000000	0.000000	0.143120	0.000000	-0.000000
0.713900	0.713900	66.616500	0.200000	0.000000	0.000000	0.142780	0.000000	-0.000000
0.710400	0.710400	67.326900	0.200000	0.000000	0.000000	0.142080	0.000000	-0.000000
0.708600	0.708600	68.035500	0.200000	0.000000	0.000000	0.141720	0.000000	-0.000000
0.706800	0.706800	68.742300	0.200000	0.000000	0.000000	0.141360	0.000000	-0.000000
0.704900	0.704900	69.447200	0.200000	0.000000	0.000000	0.140980	0.000000	-0.000000
0.702900	0.702900	70.150100	0.200000	0.000000	0.000000	0.140580	0.000000	-0.000000
0.700900	0.700900	70.851000	0.200000	0.000000	0.000000	0.140180	0.000000	-0.000000
0.698800	0.698800	71.549800	0.200000	0.000000	0.000000	0.139760	0.000000	-0.000000
0.696700	0.696700	72.246500	0.200000	0.000000	0.000000	0.139340	0.000000	-0.000000
0.694500	0.694500	72.941000	0.200000	0.000000	0.000000	0.138900	0.000000	-0.000000
