CTE	CTE_PREV	CTE_SUM	KP	KI	KD	P_ERROR	I_ERROR	D_ERROR
0.759800	0.759800	0.759800	0.200000	0.000400	0.000000	0.151960	0.000304	0.000000
0.759800	0.759800	1.519600	0.200000	0.000400	0.000000	0.151960	0.000608	0.000000
0.759800	0.759800	2.279400	0.200000	0.000400	0.000000	0.151960	0.000912	0.000000
0.759800	0.759800	3.039200	0.200000	0.000400	0.000000	0.151960	0.001216	0.000000
0.759800	0.759800	3.799000	0.200000	0.000400	0.000000	0.151960	0.001520	0.000000
0.759800	0.759800	4.558800	0.200000	0.000400	0.000000	0.151960	0.001824	0.000000
0.759800	0.759800	5.318600	0.200000	0.000400	0.000000	0.151960	0.002127	0.000000
0.759800	0.759800	6.078400	0.200000	0.000400	0.000000	0.151960	0.002431	0.000000
0.759800	0.759800	6.838200	0.200000	0.000400	0.000000	0.151960	0.002735	0.000000
0.759800	0.759800	7.598000	0.200000	0.000400	0.000000	0.151960	0.003039	0.000000
0.759800	0.759800	8.357800	0.200000	0.000400	0.000000	0.151960	0.003343	0.000000
0.759800	0.759800	9.117600	0.200000	0.000400	0.000000	0.151960	0.003647	0.000000
0.759800	0.759800	9.877400	0.200000	0.000400	0.000000	0.151960	0.003951	0.000000
0.759900	0.759900	10.637300	0.200000	0.000400	0.000000	0.151980	0.004255	0.000000
0.759800	0.759800	11.397100	0.200000	0.000400	0.000000	0.151960	0.004559	-0.000000
0.759800	0.759800	12.156900	0.200000	0.000400	0.000000	0.151960	0.004863	0.000000
0.759600	0.759600	12.916500	0.200000	0.000400	0.000000	0.151920	0.005167	-0.000000
0.759600	0.759600	13.676100	0.200000	0.000400	0.000000	0.151920	0.005470	0.000000
0.759500	0.759500	14.435600	0.200000	0.000400	0.000000	0.151900	0.005774	-0.000000
0.759400	0.759400	15.195000	0.200000	0.000400	0.000000	0.151880	0.006078	-0.000000
0.759100	0.759100	15.954100	0.200000	0.000400	0.000000	0.151820	0.006382	-0.000000
0.758900	0.758900	16.713000	0.200000	0.000400	0.000000	0.151780	0.006685	-0.000000
0.758800	0.758800	17.471800	0.200000	0.000400	0.000000	0.151760	0.006989	-0.000000
0.758600	0.758600	18.230400	0.200000	0.000400	0.000000	0.151720	0.007292	-0.000000
0.758400	0.758400	18.988800	0.200000	0.000400	0.000000	0.151680	0.007596	-0.000000
0.758300	0.758300	19.747100	0.200000	0.000400	0.000000	0.151660	0.007899	-0.000000
0.758100	0.758100	20.505200	0.200000	0.000400	0.000000	0.151620	0.008202	-0.000000
0.757900	0.757900	21.263100	0.200000	0.000400	0.000000	0.151580	0.008505	-0.000000
0.757700	0.757700	22.020800	0.200000	0.000400	0.000000	0.151540	0.008808	-0.000000
0.757400	0.757400	22.778200	0.200000	0.000400	0.000000	0.151480	0.009111	-0.000000
0.757200	0.757200	23.535400	0.200000	0.000400	0.000000	0.151440	0.009414	-0.000000
0.757000	0.757000	24.292400	0.200000	0.000400	0.000000	0.151400	0.009717	-0.000000
0.756700	0.756700	25.049100	0.200000	0.000400	0.000000	0.151340	0.010020	-0.000000
0.756400	0.756400	25.805500	0.200000	0.000400	0.000000	0.151280	0.010322	-0.000000
0.756100	0.756100	26.561600	0.200000	0.000400	0.000000	0.151220	0.010625	-0.000000
0.755800	0.755800	27.317400	0.200000	0.000400	0.000000	0.151160	0.010927	-0.000000
0.755400	0.755400	28.072800	0.200000	0.000400	0.000000	0.151080	0.011229	-0.000000
0.755100	0.755100	28.827900	0.200000	0.000400	0.000000	0.151020	0.011531	-0.000000
0.754700	0.754700	29.582600	0.200000	0.000400	0.000000	0.150940	0.011833	-0.000000
0.754300	0.754300	30.336900	0.200000	0.000400	0.000000	0.150860	0.012135	-0.000000
0.753900	0.753900	31.090800	0.200000	0.000400	0.000000	0.150780	0.012436	-0.000000
0.753500	0.753500	31.844300	0.200000	0.000400	0.000000	0.150700	0.012738	-0.000000
0.753100	0.753100	32.597400	0.200000	0.000400	0.000000	0.150620	0.013039	-0.000000
0.752700	0.752700	33.350100	0.200000	0.000400	0.000000	0.150540	0.013340	-0.000000
0.752300	0.752300	34.102400	0.200000	0.000400	0.000000	0.150460	0.013641	-0.000000
0.751800	0.751800	34.854200	0.200000	0.000400	0.000000	0.150360	0.013942	-0.000000
0.751300	0.751300	35.605500	0.200000	0.000400	0.000000	0.150260	0.014242	-0.000000
0.750800	0.750800	36.356300	0.200000	0.000400	0.000000	0.150160	0.014543	-0.000000
0.750200	0.750200	37.106500	0.200000	0.000400	0.000000	0.150040	0.014843	-0.000000
0.749700	0.749700	37.856200	0.200000	0.000400	0.000000	0.149940	0.015142	-0.000000
0.749200	0.749200	38.605400	0.200000	0.000400	0.000000	0.149840	0.015442	-0.000000
0.748500	0.748500	39.353900	0.200000	0.000400	0.000000	0.149700	0.015742	-0.000000
0.747900	0.747900	40.101800	0.200000	0.000400	0.000000	0.149580	0.016041	-0.000000
0.747300	0.747300	40.849100	0.200000	0.000400	0.000000	0.149460	0.016340	-0.000000
0.746600	0.746600	41.595700	0.200000	0.000400	0.000000	0.149320	0.016638	-0.000000
0.746000	0.746000	42.341700	0.200000	0.000400	0.000000	0.149200	0.016937	-0.000000
0.745200	0.745200	43.086900	0.200000	0.000400	0.000000	0.149040	0.017235	-0.000000
0.744500	0.744500	43.831400	0.200000	0.000400	0.000000	0.148900	0.017533	-0.000000
0.743800	0.743800	44.575200	0.200000	0.000400	0.000000	0.148760	0.017830	-0.000000
0.743000	0.743000	45.318200	0.200000	0.000400	0.000000	0.148600	0.018127	-0.000000
0.742200	0.742200	46.060400	0.200000	0.000400	0.000000	0.148440	0.018424	-0.000000
0.741300	0.741300	46.801700	0.200000	0.000400	0.000000	0.148260	0.018721	-0.000000
0.740500	0.740500	47.542200	0.200000	0.000400	0.000000	0.148100	0.019017	-0.000000
0.739600	0.739600	48.281800	0.200000	0.000400	0.000000	0.147920	0.019313	-0.000000
0.738700	0.738700	49.020500	0.200000	0.000400	0.000000	0.147740	0.019608	-0.000000
0.737700	0.737700	49.758200	0.200000	0.000400	0.000000	0.147540	0.019903	-0.000000
0.736700	0.736700	50.494900	0.200000	0.000400	0.000000	0.147340	0.020198	-0.000000
0.735700	0.735700	51.230600	0.200000	0.000400	0.000000	0.147140	0.020492	-0.000000
