CTE	CTE_PREV	CTE_SUM	KP	KI	KD	P_ERROR	I_ERROR	D_ERROR
0.759800	0.759800	0.759800	0.200000	0.000400	3.000000	0.151960	0.000304	0.000000
0.759800	0.759800	1.519600	0.200000	0.000400	3.000000	0.151960	0.000608	0.000000
0.759800	0.759800	2.279400	0.200000	0.000400	3.000000	0.151960	0.000912	0.000000
0.759800	0.759800	3.039200	0.200000	0.000400	3.000000	0.151960	0.001216	0.000000
0.759800	0.759800	3.799000	0.200000	0.000400	3.000000	0.151960	0.001520	0.000000
0.759800	0.759800	4.558800	0.200000	0.000400	3.000000	0.151960	0.001824	0.000000
0.759800	0.759800	5.318600	0.200000	0.000400	3.000000	0.151960	0.002127	0.000000
0.759800	0.759800	6.078400	0.200000	0.000400	3.000000	0.151960	0.002431	0.000000
0.759800	0.759800	6.838200	0.200000	0.000400	3.000000	0.151960	0.002735	0.000000
0.759800	0.759800	7.598000	0.200000	0.000400	3.000000	0.151960	0.003039	0.000000
0.759800	0.759800	8.357800	0.200000	0.000400	3.000000	0.151960	0.003343	0.000000
0.759800	0.759800	9.117600	0.200000	0.000400	3.000000	0.151960	0.003647	0.000000
0.759800	0.759800	9.877400	0.200000	0.000400	3.000000	0.151960	0.003951	0.000000
0.759800	0.759800	10.637200	0.200000	0.000400	3.000000	0.151960	0.004255	0.000000
0.759800	0.759800	11.397000	0.200000	0.000400	3.000000	0.151960	0.004559	0.000000
0.759800	0.759800	12.156800	0.200000	0.000400	3.000000	0.151960	0.004863	0.000000
0.759900	0.759900	12.916700	0.200000	0.000400	3.000000	0.151980	0.005167	0.000300
0.759800	0.759800	13.676500	0.200000	0.000400	3.000000	0.151960	0.005471	-0.000300
0.759800	0.759800	14.436300	0.200000	0.000400	3.000000	0.151960	0.005775	0.000000
0.759700	0.759700	15.196000	0.200000	0.000400	3.000000	0.151940	0.006078	-0.000300
0.759700	0.759700	15.955700	0.200000	0.000400	3.000000	0.151940	0.006382	0.000000
0.759500	0.759500	16.715200	0.200000	0.000400	3.000000	0.151900	0.006686	-0.000600
0.759400	0.759400	17.474600	0.200000	0.000400	3.000000	0.151880	0.006990	-0.000300
0.759300	0.759300	18.233900	0.200000	0.000400	3.000000	0.151860	0.007294	-0.000300
0.759200	0.759200	18.993100	0.200000	0.000400	3.000000	0.151840	0.007597	-0.000300
0.759000	0.759000	19.752100	0.200000	0.000400	3.000000	0.151800	0.007901	-0.000600
0.758900	0.758900	20.511000	0.200000	0.000400	3.000000	0.151780	0.008204	-0.000300
0.758700	0.758700	21.269700	0.200000	0.000400	3.000000	0.151740	0.008508	-0.000600
0.758500	0.758500	22.028200	0.200000	0.000400	3.000000	0.151700	0.008811	-0.000600
0.758300	0.758300	22.786500	0.200000	0.000400	3.000000	0.151660	0.009115	-0.000600
0.757900	0.757900	23.544400	0.200000	0.000400	3.000000	0.151580	0.009418	-0.001200
0.757900	0.757900	24.302300	0.200000	0.000400	3.000000	0.151580	0.009721	0.000000
0.757700	0.757700	25.060000	0.200000	0.000400	3.000000	0.151540	0.010024	-0.000600
0.757500	0.757500	25.817500	0.200000	0.000400	3.000000	0.151500	0.010327	-0.000600
0.757300	0.757300	26.574800	0.200000	0.000400	3.000000	0.151460	0.010630	-0.000600
0.757000	0.757000	27.331800	0.200000	0.000400	3.000000	0.151400	0.010933	-0.000900
0.756800	0.756800	28.088600	0.200000	0.000400	3.000000	0.151360	0.011235	-0.000600
0.756500	0.756500	28.845100	0.200000	0.000400	3.000000	0.151300	0.011538	-0.000900
0.756200	0.756200	29.601300	0.200000	0.000400	3.000000	0.151240	0.011841	-0.000900
0.755900	0.755900	30.357200	0.200000	0.000400	3.000000	0.151180	0.012143	-0.000900
0.755600	0.755600	31.112800	0.200000	0.000400	3.000000	0.151120	0.012445	-0.000900
0.755300	0.755300	31.868100	0.200000	0.000400	3.000000	0.151060	0.012747	-0.000900
0.754600	0.754600	32.622700	0.200000	0.000400	3.000000	0.150920	0.013049	-0.002100
0.754200	0.754200	33.376900	0.200000	0.000400	3.000000	0.150840	0.013351	-0.001200
0.753900	0.753900	34.130800	0.200000	0.000400	3.000000	0.150780	0.013652	-0.000900
0.753500	0.753500	34.884300	0.200000	0.000400	3.000000	0.150700	0.013954	-0.001200
0.752600	0.752600	35.636900	0.200000	0.000400	3.000000	0.150520	0.014255	-0.002700
